id;name;vat_id;contact_person;phone_number
1;olive;payment Legacy Personal Loan Account;rich exploit COM;Russian Ruble visionary
2;JSON;Money Market Account;synergize Taka Metal;XSS IB Barbados
3;synthesizing Via;Manager Village digital;Steel;back up quantify
4;Personal Loan Account override Face to face;deposit Functionality;USB El Salvador Colon US Dollar;Product
5;generating Garden Analyst;Home Loan Account;digital multi-byte;withdrawal Cotton
6;Representative networks Product;Implementation compressing;New Jersey motivating Personal Loan Account;Metal Reduced Sleek Rubber Shirt
7;Steel;wireless Grocery;navigate;blue Steel Key
8;morph primary input;Sleek B2C;bandwidth Qatari Rial withdrawal;Borders Beauty generating
9;orchestration;implement Vanuatu Kwanza;Intelligent Steel Sausages;middleware impactful
10;Practical Soft Shirt white;lavender;Idaho Checking Account;invoice
